GeneSymbol	Marker	ImmunePhenotype	Function	JAX_Description	OmniSeq_Description	Entrez_Description	GeneCards_Description	UniProt_Description
IL10	IL10	Anti-inflammatory Response	Anti-inflammatory	"IL10, interleukin 10, encodes for an anti-inflammatory cytokine that is involved in the regulation of the immune response (PMID: 18424693). IL10 expression has been linked to immune protection in cancer (PMID: 24076584)."	"IL10, interleukin 10, encodes for an anti-inflammatory cytokine that is involved in the regulation of the immune response (PMID: 18424693). IL10 expression has been linked to immune protection in cancer (PMID: 24076584)."	"The protein encoded by this gene is a cytokine produced primarily by monocytes and to a lesser extent by lymphocytes. This cytokine has pleiotropic effects in immunoregulation and inflammation. It down-regulates the expression of Th1 cytokines, MHC class II Ags, and costimulatory molecules on macrophages. It also enhances B cell survival, proliferation, and antibody production. This cytokine can block NF-kappa B activity, and is involved in the regulation of the JAK-STAT signaling pathway. Knockout studies in mice suggested the function of this cytokine as an essential immunoregulator in the intestinal tract. Mutations in this gene are associated with an increased susceptibility to HIV-1 infection and rheumatoid arthritis.[provided by RefSeq, May 2011]"	IL10 (Interleukin 10) is a Protein Coding gene. Diseases associated with IL10 include Graft-Versus-Host Disease and Human Immunodeficiency Virus Type 1. Among its related pathways are ERK Signaling and IL4-mediated signaling events. Gene Ontology (GO) annotations related to this gene include cytokine activity and interleukin-10 receptor binding. An important paralog of this gene is IL20.	"Major immune regulatory cytokine that acts on many cells of the immune system where it has profound anti-inflammatory functions, limiting excessive tissue disruption caused by inflammation. Mechanistically, IL10 binds to its heterotetrameric receptor comprising IL10RA and IL10RB leading to JAK1 and STAT2-mediated phosphorylation of STAT3 (PubMed:16982608). In turn, STAT3 translocates to the nucleus where it drives expression of anti-inflammatory mediators (PubMed:18025162). Targets antigen-presenting cells (APCs) such as macrophages and monocytes and inhibits their release of pro-inflammatory cytokines including granulocyte-macrophage colony-stimulating factor /GM-CSF, granulocyte colony-stimulating factor/G-CSF, IL-1 alpha, IL-1 beta, IL-6, IL-8 and TNF-alpha (PubMed:1940799, PubMed:7512027, PubMed:11564774). Interferes also with antigen presentation by reducing the expression of MHC-class II and co-stimulatory molecules, thereby inhibiting their ability to induce T cell activation (PubMed:8144879). In addition, controls the inflammatory response of macrophages by reprogramming essential metabolic pathways including mTOR signaling (By similarity)."
IL1B	IL1B	Pro-inflammatory Response	Pro-inflammatory		"IL1B, interleukin 1 beta, is a member of the interleukin 1 cytokine family. ProIL-1B is produced by monocytes and macrophages but requires cleavage by capase to produce its active form (PMID:15188375). IL1B induces T-cells to proliferate and produce IFN-g without TCR engagement (PMID:10653850). "	"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2008]"	"IL1B (Interleukin 1 Beta) is a Protein Coding gene. Diseases associated with IL1B include Gastric Cancer, Hereditary Diffuse and Toxic Shock Syndrome. Among its related pathways are Th1 Differentiation Pathway and Hematopoietic cell lineage. Gene Ontology (GO) annotations related to this gene include protein domain specific binding and interleukin-1 receptor binding. An important paralog of this gene is IL1RN."	"Potent proinflammatory cytokine. Initially discovered as the major endogenous pyrogen, induces prostaglandin synthesis, neutrophil influx and activation, T-cell activation and cytokine production, B-cell activation and antibody production, and fibroblast proliferation and collagen production. Promotes Th17 differentiation of T-cells. Synergizes with IL12/interleukin-12 to induce IFNG synthesis from T-helper 1 (Th1) cells (PubMed:10653850)."
KLRD1	KLRD1	Tumor Infiltrating Lymphocytes (TILs)	NK Cells		"KLRD1 (CD94),  Killer Cell Lectin Like Recepter D1, is a is a type II transmembrane glycoprotein that is a heterodimer paired with the NKG2 family (PMID: 18083576; PMID: 10023772). KLRD1/NKG2 receptors are expressed on the surface of NK cells  allowing for immunosurveillance of class I MHC molecules (PMID: 18083576; PMID: 10023772)"	"Natural killer (NK) cells are a distinct lineage of lymphocytes that mediate cytotoxic activity and secrete cytokines upon immune stimulation. Several genes of the C-type lectin superfamily, including members of the NKG2 family, are expressed by NK cells and may be involved in the regulation of NK cell function. KLRD1 (CD94) is an antigen preferentially expressed on NK cells and is classified as a type II membrane protein because it has an external C terminus. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2017]"	KLRD1 (Killer Cell Lectin Like Receptor D1) is a Protein Coding gene. Diseases associated with KLRD1 include T-Cell Large Granular Lymphocyte Leukemia and Chronic Nk-Cell Lymphocytosis. Among its related pathways are Immune response Role of DAP12 receptors in NK cells and Class I MHC mediated antigen processing and presentation. Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and MHC class I protein complex binding. An important paralog of this gene is CLEC7A.	Plays a role as a receptor for the recognition of MHC class I HLA-E molecules by NK cells and some cytotoxic T-cells.
LAG3	LAG3	Checkpoint Blockade (Other)	Co-inhibitory	"LAG3, lymphocyte activation gene 3 protein, is expressed on activated T-cells and NK cells and binds MHC class II molecules to inhibit the immune response (PMID: 28258692). LAG3 inhibition in cancer therapy may relieve suppression of the anti-tumor immune response (PMID: 29900067, PMID: 29439955)."	"LAG3, lymphocyte activation gene 3 protein, is expressed on activated T-cells and NK cells and binds MHC class II molecules to inhibit the immune response (PMID: 28258692). LAG3 inhibition in cancer therapy may relieve suppression of the anti-tumor immune response (PMID: 29900067, PMID: 29439955)."	"Lymphocyte-activation protein 3 belongs to Ig superfamily and contains 4 extracellular Ig-like domains. The LAG3 gene contains 8 exons. The sequence data, exon/intron organization, and chromosomal localization all indicate a close relationship of LAG3 to CD4. [provided by RefSeq, Jul 2008]"	"LAG3 (Lymphocyte Activating 3) is a Protein Coding gene. Diseases associated with LAG3 include Smoldering Myeloma and Macular Degeneration, Age-Related, 8. Among its related pathways are Class I MHC mediated antigen processing and presentation and Innate Immune System. Gene Ontology (GO) annotations related to this gene include transmembrane signaling receptor activity and MHC class II protein binding. An important paralog of this gene is IL1RAPL1."	"Lymphocyte activation gene 3 protein: Inhibitory receptor on antigen activated T-cells (PubMed:7805750, PubMed:8647185, PubMed:20421648). Delivers inhibitory signals upon binding to ligands, such as FGL1 (By similarity). FGL1 constitutes a major ligand of LAG3 and is responsible for LAG3 T-cell inhibitory function (By similarity). Following TCR engagement, LAG3 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). May inhibit antigen-specific T-cell activation in synergy with PDCD1/PD-1, possibly by acting as a coreceptor for PDCD1/PD-1 (By similarity). Negatively regulates the proliferation, activation, effector function and homeostasis of both CD8(+) and CD4(+) T-cells (PubMed:7805750, PubMed:8647185, PubMed:20421648). Also mediates immune tolerance: constitutively expressed on a subset of regulatory T-cells (Tregs) and contributes to their suppressive function (By similarity). Also acts as a negative regulator of plasmacytoid dendritic cell (pDCs) activation (By similarity). Binds MHC class II (MHC-II); the precise role of MHC-II-binding is however unclear (PubMed:8647185). [Secreted lymphocyte activation gene 3 protein]: May function as a ligand for MHC class II (MHC-II) on antigen-presenting cells (APC), promoting APC activation/maturation and driving Th1 immune response."
MAGEA1	MAGEA1	Cancer Testis Antigens	Unknown	"MAGEA1, melanoma-associated antigen 1, is a member of the cancer testis antigen (CTA) family (PMID: 30498011, PMID: 28300603) that is normally expressed in male germ line cells and placenta (PMID: 28459460) and may play a role in increased cell motility, cell proliferation, and inflammation (PMID: 29763778). Overexpression of Magea1 has been observed in metastatic lung cancer (PMID: 30122941) and may be prognostic marker for early detection (PMID: 29356386, PMID: 29308305)."	"MAGEA1, melanoma-associated antigen 1, is a member of the cancer testis antigen (CTA) family (PMID: 30498011, PMID: 28300603) that is normally expressed in male germ line cells and placenta (PMID: 28459460) and may play a role in increased cell motility, cell proliferation, and inflammation (PMID: 29763778). "	"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. [provided by RefSeq, Jul 2008]"	MAGEA1 (MAGE Family Member A1) is a Protein Coding gene. Diseases associated with MAGEA1 include Melanoma and Ocular Melanoma. Among its related pathways are Notch Signaling Pathway (WikiPathways). Gene Ontology (GO) annotations related to this gene include histone deacetylase binding. An important paralog of this gene is MAGEA4.	May be involved in transcriptional regulation through interaction with SNW1 and recruiting histone deactelyase HDAC1. May inhibit notch intracellular domain (NICD) transactivation. May play a role in embryonal development and tumor transformation or aspects of tumor progression. Antigen recognized on a melanoma by autologous cytolytic T-lymphocytes.
MAGEA3	MAGEA3	Cancer Testis Antigens	Unknown	"MAGEA3, melanoma-associated antigen 3, is a member of the cancer testis antigen (CTA) family that has normal, restricted expression in the testis (PMID: 30588194). Abnormal expression of Magea3 has been reported in a number of solid tumor types including, melanoma, breast cancer, head and neck cancer, lung cancer, gastric cancer, skin squamous cell carcinoma, colorectal cancer (PMID: 30588194), and urothelial bladder cancer (PMID: 30384365, PMID: 29058301), and is often correlated with poor prognosis and resistance to immune checkpoint blockade (PMID: 29656892)."	"MAGEA3, melanoma-associated antigen 3, is a member of the cancer testis antigen (CTA) family that has normal, restricted expression in the testis (PMID: 30588194). MAGEA3 is often correlated with poor prognosis and resistance to immune checkpoint blockade (PMID: 29656892)."	"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. [provided by RefSeq, Jul 2008]"	MAGEA3 (MAGE Family Member A3) is a Protein Coding gene. Diseases associated with MAGEA3 include Ocular Melanoma and Melanoma. Among its related pathways are NF-kappaB Signaling. An important paralog of this gene is MAGEA6.	Proposed to enhance ubiquitin ligase activity of RING-type zinc finger-containing E3 ubiquitin-protein ligases. May enhance ubiquitin ligase activity of TRIM28 and stimulate p53/TP53 ubiquitination by TRIM28. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex. May play a role in embryonal development and tumor transformation or aspects of tumor progression. In vitro promotes cell viability in melanoma cell lines. Antigen recognized on a melanoma by autologous cytolytic T-lymphocytes.
MAGEA4	MAGEA4	Cancer Testis Antigens	Unknown	"MAGEA4, melanoma-associated antigen 4, is a member of the cancer testis antigen (CTA) family (PMID: 28300603), and regulates cell growth (PMID: 22842486). Overexpression of MAGEA4 has been observed in several tumor types, including head and neck squamous cell carcinoma (PMID: 22842486), bladder cancer (PMID: 19533752), lung, breast, ovarian, colon, and esophageal cancers (PMID: 30881511)."	"MAGEA4, melanoma-associated antigen 4, is a member of the cancer testis antigen (CTA) family (PMID: 28300603), and regulates cell growth (PMID: 22842486). MAGEA4 may provide a marker for immunotherapy due to its severe prognosis in numerous cancers (PMID: 12209610)"	"This gene is a member of the MAGEA gene family. The members of this family encode proteins with 50 to 80% sequence identity to each other. The promoters and first exons of the MAGEA genes show considerable variability, suggesting that the existence of this gene family enables the same function to be expressed under different transcriptional controls. The MAGEA genes are clustered at chromosomal location Xq28. They have been implicated in some hereditary disorders, such as dyskeratosis congenita. At least four variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]"	MAGEA4 (MAGE Family Member A4) is a Protein Coding gene. Diseases associated with MAGEA4 include Testicular Cancer and Melanoma. An important paralog of this gene is MAGEA1.	"Not known, though may play a role in embryonal development and tumor transformation or aspects of tumor progression."
MS4A1	CD20	Tumor Infiltrating Lymphocytes (TILs)	B-cells	"MS4A1, membrane spanning 4-domains A1, is a cell surface marker for mature B-cells that potentially regulates B-cell activation and growth (PMID: 11225995). MS4A1 is expressed in B-cell originated tumors and is a therapeutic target (PMID: 6609729, PMID: 19687518)."	"MS4A1, membrane spanning 4-domains A1, is a cell surface marker for mature B-cells that potentially regulates B-cell activation and growth (PMID: 11225995). MS4A1 is expressed in B-cell originated tumors and is a therapeutic target (PMID: 6609729, PMID: 19687518)."	"This gene encodes a member of the membrane-spanning 4A gene family. Members of this nascent protein family are characterized by common structural features and similar intron/exon splice boundaries and display unique expression patterns among hematopoietic cells and nonlymphoid tissues. This gene encodes a B-lymphocyte surface molecule which plays a role in the development and differentiation of B-cells into plasma cells. This family member is localized to 11q12, among a cluster of family members. Alternative splicing of this gene results in two transcript variants which encode the same protein. [provided by RefSeq, Jul 2008]"	"MS4A1 (Membrane Spanning 4-Domains A1) is a Protein Coding gene. Diseases associated with MS4A1 include Immunodeficiency, Common Variable, 5 and Common Variable Immunodeficiency. Among its related pathways are Hematopoietic cell lineage and Dendritic Cells Developmental Lineage Pathway. Gene Ontology (GO) annotations related to this gene include epidermal growth factor receptor binding and MHC class II protein complex binding. An important paralog of this gene is MS4A18."	"B-lymphocyte-specific membrane protein that plays a role in the regulation of cellular calcium influx necessary for the development, differentiation, and activation of B-lymphocytes (PubMed:3925015, PubMed:7684739, PubMed:12920111). Functions as a store-operated calcium (SOC) channel component promoting calcium influx after activation by the B-cell receptor/BCR (PubMed:7684739, PubMed:12920111, PubMed:18474602)."
MX1	MX1	Pro-inflammatory Response	Immunostimulatory		"MX1 (MxA), MX Dynamin Like GTPase 1, belongs to the dynamin superfamily of large GTPases which are involved in intracellular transport processes (PMID: 15047845). MX1 is a in iduced by IFN and plays a role in IFN type-I mediated response in cells infected with a variety of viruses (PMID: 15047845; PMID: 21992152)"	"This gene encodes a guanosine triphosphate (GTP)-metabolizing protein that participates in the cellular antiviral response. The encoded protein is induced by type I and type II interferons and antagonizes the replication process of several different RNA and DNA viruses. There is a related gene located adjacent to this gene on chromosome 21, and there are multiple pseudogenes located in a cluster on chromosome 4. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]"	MX1 (MX Dynamin Like GTPase 1) is a Protein Coding gene. Diseases associated with MX1 include Influenza and Viral Encephalitis. Among its related pathways are Innate Immune System and PI3K-Akt signaling pathway. Gene Ontology (GO) annotations related to this gene include GTP binding and GTPase activity. An important paralog of this gene is MX2.	"Interferon-induced dynamin-like GTPase with antiviral activity against a wide range of RNA viruses and some DNA viruses. Its target viruses include negative-stranded RNA viruses and HBV through binding and inactivation of their ribonucleocapsid. May also antagonize reoviridae and asfarviridae replication. Inhibits thogoto virus (THOV) replication by preventing the nuclear import of viral nucleocapsids. Inhibits La Crosse virus (LACV) replication by sequestering viral nucleoprotein in perinuclear complexes, preventing genome amplification, budding, and egress. Inhibits influenza A virus (IAV) replication by decreasing or delaying NP synthesis and by blocking endocytic traffic of incoming virus particles. Enhances ER stress-mediated cell death after influenza virus infection. May regulate the calcium channel activity of TRPCs."
NECTIN2	NECTIN2	Checkpoint Blockade (Other)	Unknown		"NECTIN 2 (CD112), Nectin cell adhesion molecule 2, is a single pass type I membrane glycoprotein that binds to CD28 family member TIGIT (PMID: 29855615). NECTIN2 costimulates T-cells when bound to CD226, and also inhibits T-cell response through the coinhibitory receptor TIGIT (PMID: 26755705)"	"This gene encodes a single-pass type I membrane glycoprotein with two Ig-like C2-type domains and an Ig-like V-type domain. This protein is one of the plasma membrane components of adherens junctions. It also serves as an entry for certain mutant strains of herpes simplex virus and pseudorabies virus, and it is involved in cell to cell spreading of these viruses. Variations in this gene have been associated with differences in the severity of multiple sclerosis. Alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]"	NECTIN2 (Nectin Cell Adhesion Molecule 2) is a Protein Coding gene. Diseases associated with NECTIN2 include Herpes Simplex and Cleft Lip/Palate-Ectodermal Dysplasia Syndrome. Among its related pathways are Class I MHC mediated antigen processing and presentation and Cell adhesion molecules (CAMs). An important paralog of this gene is PVR.	"Modulator of T-cell signaling. Can be either a costimulator of T-cell function, or a coinhibitor, depending on the receptor it binds to. Upon binding to CD226, stimulates T-cell proliferation and cytokine production, including that of IL2, IL5, IL10, IL13, and IFNG. Upon interaction with PVRIG, inhibits T-cell proliferation. These interactions are competitive (PubMed:26755705). Probable cell adhesion protein (PubMed:9657005). (Microbial infection) Acts as a receptor for herpes simplex virus 1 (HHV-1) mutant Rid1, herpes simplex virus 1 (HHV-2) and pseudorabies virus (PRV)."
PDCD1	PD-1	Checkpoint Blockade (PD-1/CTLA4)	Co-inhibitory	"PDCD1, programmed cell death 1, encodes the receptor PD-1, which is expressed on immune cells and has an inhibitory effect on immune response upon interaction with its ligands, PD-L1 and PD-L2 (PMID: 26681673, PMID: 24403232). PDCD1 (PD-1) inhibition in cancer therapy may relieve suppression of anti-tumor immune response (PMID: 26325035, PMID: 26681673, PMID: 26320063, PMID: 24403232)."	"PDCD1, programmed cell death 1, encodes the receptor PD-1, which is expressed on immune cells and has an inhibitory effect on immune response upon interaction with its ligands, PD-L1 and PD-L2 (PMID: 26681673, PMID: 24403232). PDCD1 (PD-1) inhibition in cancer therapy may relieve suppression of anti-tumor immune response (PMID: 26325035, PMID: 26681673, PMID: 26320063, PMID: 24403232)."	"This gene encodes a cell surface membrane protein of the immunoglobulin superfamily. This protein is expressed in pro-B-cells and is thought to play a role in their differentiation. In mice, expression of this gene is induced in the thymus when anti-CD3 antibodies are injected and large numbers of thymocytes undergo apoptosis. Mice deficient for this gene bred on a BALB/c background developed dilated cardiomyopathy and died from congestive heart failure. These studies suggest that this gene product may also be important in T cell function and contribute to the prevention of autoimmune diseases. [provided by RefSeq, Jul 2008]"	PDCD1 (Programmed Cell Death 1) is a Protein Coding gene. Diseases associated with PDCD1 include Systemic Lupus Erythematosus 2 and Multiple Sclerosis. Among its related pathways are T-Cell Receptor and Co-stimulatory Signaling and Class I MHC mediated antigen processing and presentation. Gene Ontology (GO) annotations related to this gene include obsolete signal transducer activity.	"Inhibitory receptor on antigen activated T-cells that plays a critical role in induction and maintenance of immune tolerance to self (PubMed:21276005). Delivers inhibitory signals upon binding to ligands CD274/PDCD1L1 and CD273/PDCD1LG2 (PubMed:21276005). Following T-cell receptor (TCR) engagement, PDCD1 associates with CD3-TCR in the immunological synapse and directly inhibits T-cell activation (By similarity). Suppresses T-cell activation through the recruitment of PTPN11/SHP-2: following ligand-binding, PDCD1 is phosphorylated within the ITSM motif, leading to the recruitment of the protein tyrosine phosphatase PTPN11/SHP-2 that mediates dephosphorylation of key TCR proximal signaling molecules, such as ZAP70, PRKCQ/PKCtheta and CD247/CD3zeta (By similarity). The PDCD1-mediated inhibitory pathway is exploited by tumors to attenuate anti-tumor immunity and escape destruction by the immune system, thereby facilitating tumor survival (PubMed:28951311). The interaction with CD274/PDCD1L1 inhibits cytotoxic T lymphocytes (CTLs) effector function (PubMed:28951311). The blockage of the PDCD1-mediated pathway results in the reversal of the exhausted T-cell phenotype and the normalization of the anti-tumor response, providing a rationale for cancer immunotherapy (PubMed:22658127, PubMed:25034862, PubMed:25399552)."
PDCD1LG2	PD-L2	Checkpoint Blockade (PD-1/CTLA4)	Unknown	"PDCD1LG2, programmed cell death 1 ligand 2, encodes PD-L2, a ligand for PD-1, which upon interaction exert an inhibitory effect on immune response (PMID: 11224527, PMID: 26432723, PMID: 28018338). PDCD1LG2 (PD-L2) is expressed in several tumor types, and amplification and over expression of PD-L2, along with PD-L1, has been demonstrated in Hodgkin lymphoma and PMBCL (PMID: 28619999, PMID: 26432723)."	"PDCD1LG2, programmed cell death 1 ligand 2, encodes PD-L2, a ligand for PD-1, which upon interaction exert an inhibitory effect on immune response (PMID: 11224527, PMID: 26432723, PMID: 28018338). When PD-L2 engages PD-1, T-cell receptor mediated proiferation and cytokine production by CD4+ T-cells is inhibited (PMID: 11224527)"		"PDCD1LG2 (Programmed Cell Death 1 Ligand 2) is a Protein Coding gene. Diseases associated with PDCD1LG2 include Cysticercosis and Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type. Among its related pathways are Class I MHC mediated antigen processing and presentation and Cell adhesion molecules (CAMs). An important paralog of this gene is CD274."	"Involved in the costimulatory signal, essential for T-cell proliferation and IFNG production in a PDCD1-independent manner. Interaction with PDCD1 inhibits T-cell proliferation by blocking cell cycle progression and cytokine production (By similarity)."
PVR	PVR	Checkpoint Blockade (Other)	Unknown		"PVR (CD155), poliovirus receptor, is an immunoglobulin-like molecule with three Ig-like domains and localizes in cell-matrix adhesions and cell-cell junctions (PMID: 15194502).  PVR overexpresison promotes cell migration, cell proliferation, and enhances growth factor-induced cell proliferation (PMID: 28730595)."	"The protein encoded by this gene is a transmembrane glycoprotein belonging to the immunoglobulin superfamily. The external domain mediates cell attachment to the extracellular matrix molecule vitronectin, while its intracellular domain interacts with the dynein light chain Tctex-1/DYNLT1. The gene is specific to the primate lineage, and serves as a cellular receptor for poliovirus in the first step of poliovirus replication. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008]"	PVR (PVR Cell Adhesion Molecule) is a Protein Coding gene. Diseases associated with PVR include Poliomyelitis and Paralytic Poliomyelitis. Among its related pathways are Adhesion and Class I MHC mediated antigen processing and presentation. Gene Ontology (GO) annotations related to this gene include virus receptor activity. An important paralog of this gene is NECTIN2.	"Mediates NK cell adhesion and triggers NK cell effector functions. Binds two different NK cell receptors: CD96 and CD226. These interactions accumulates at the cell-cell contact site, leading to the formation of a mature immunological synapse between NK cell and target cell. This may trigger adhesion and secretion of lytic granules and IFN-gamma and activate cytoxicity of activated NK cells. May also promote NK cell-target cell modular exchange, and PVR transfer to the NK cell. This transfer is more important in some tumor cells expressing a lot of PVR, and may trigger fratricide NK cell activation, providing tumors with a mechanism of immunoevasion. Plays a role in mediating tumor cell invasion and migration. (Microbial infection) Acts as a receptor for poliovirus. May play a role in axonal transport of poliovirus, by targeting virion-PVR-containing endocytic vesicles to the microtubular network through interaction with DYNLT1. This interaction would drive the virus-containing vesicle to the axonal retrograde transport. (Microbial infection) Acts as a receptor for Pseudorabies virus. (Microbial infection) Is prevented to reach cell surface upon infection by Human cytomegalovirus /HHV-5, presumably to escape immune recognition of infected cell by NK cells."
SSX2	SSX2	Cancer Testis Antigens	Unknown	"SSX2, SSX family member 2, is a putative transcriptional repressor (PMID: 27276714) and a known cancer testis antigen (CTA) (PMID: 30186454, PMID: 25363656). S18-SSX2 fusions are commonly associated with synovial sarcoma (PMID: 17018603, PMID: 26259251, PMID: 26571495, PMID: 30186454)."	"SSX2, SSX family member 2, is a putative transcriptional repressor (PMID: 27276714) and a known cancer testis antigen (CTA) (PMID: 30186454, PMID: 25363656). SSX proteins are associated with epithelial to mesenchymal transition (EMT), which has been known to initiate metastases formation (PMID: 27276714)"	"The product of this gene belongs to the family of highly homologous synovial sarcoma X (SSX) breakpoint proteins. These proteins may function as transcriptional repressors. They are also capable of eliciting spontaneous humoral and cellular immune responses in cancer patients, and are potentially useful targets in cancer vaccine-based immunotherapy. This gene, and also the SSX1 and SSX4 family members, have been involved in t(X;18)(p11.2;q11.2) translocations that are characteristically found in all synovial sarcomas. This translocation results in the fusion of the synovial sarcoma translocation gene on chromosome 18 to one of the SSX genes on chromosome X. The encoded hybrid proteins are likely responsible for transforming activity. Alternative splicing of this gene results in multiple transcript variants. This gene also has an identical duplicate, GeneID: 727837, located about 45 kb downstream in the opposite orientation on chromosome X. [provided by RefSeq, Jul 2013]"	"SSX2 (SSX Family Member 2) is a Protein Coding gene. Diseases associated with SSX2 include Sarcoma, Synovial and Sarcoma. Among its related pathways are Transcriptional misregulation in cancer. Gene Ontology (GO) annotations related to this gene include nucleic acid binding. An important paralog of this gene is SSX2B."	Could act as a modulator of transcription.
STAT1	STAT1	Pro-inflammatory Response	Pro-inflammatory	"STAT1, signal transducer and activator of transcription 1-alpha/beta, is a STAT family transcription factor that plays a role in innate immunity and response to growth factors via transcription of anti-viral and cell cycle regulatory genes (PMID: 24058806). STAT1 mRNA expression levels have been associated with favorable (PMID: 12374673) and poor breast cancer prognoses (PMID: 24725474)."	"STAT1, signal transducer and activator of transcription 1-alpha/beta, is a STAT family transcription factor that plays a role in innate immunity and response to growth factors via transcription of anti-viral and cell cycle regulatory genes (PMID: 24058806).STAT1 mediates cellular IFNγ responses and key functions such as host defence, and modulation of immune and inflammatory responses (PMID: 29921905)"	"The protein encoded by this gene is a member of the STAT protein family. In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein can be activated by various ligands including interferon-alpha, interferon-gamma, EGF, PDGF and IL6. This protein mediates the expression of a variety of genes, which is thought to be important for cell viability in response to different cell stimuli and pathogens. Two alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Jul 2008]"	STAT1 (Signal Transducer And Activator Of Transcription 1) is a Protein Coding gene. Diseases associated with STAT1 include Immunodeficiency 31C and Immunodeficiency 31A. Among its related pathways are FGFR1 mutant receptor activation and Th1 Differentiation Pathway. Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and protein homodimerization activity. An important paralog of this gene is STAT4.	"Signal transducer and transcription activator that mediates cellular responses to interferons (IFNs), cytokine KITLG/SCF and other cytokines and other growth factors. Following type I IFN (IFN-alpha and IFN-beta) binding to cell surface receptors, signaling via protein kinases leads to activation of Jak kinases (TYK2 and JAK1) and to tyrosine phosphorylation of STAT1 and STAT2. The phosphorylated STATs dimerize and associate with ISGF3G/IRF-9 to form a complex termed ISGF3 transcription factor, that enters the nucleus (PubMed:28753426). ISGF3 binds to the IFN stimulated response element (ISRE) to activate the transcription of IFN-stimulated genes (ISG), which drive the cell in an antiviral state. In response to type II IFN (IFN-gamma), STAT1 is tyrosine- and serine-phosphorylated (PubMed:26479788). It then forms a homodimer termed IFN-gamma-activated factor (GAF), migrates into the nucleus and binds to the IFN gamma activated sequence (GAS) to drive the expression of the target genes, inducing a cellular antiviral state. Becomes activated in response to KITLG/SCF and KIT signaling. May mediate cellular responses to activated FGFR1, FGFR2, FGFR3 and FGFR4."
